"flight","date","growth_stage","variable","n_subplots","mean","sd","median","min","max","range"
1,"2024-09-07","V4","canopy_area_m2",5,1.02879420465717,0.225425319451757,0.956102668503795,0.732697469706883,1.26525494438559,0.532557474678707
1,"2024-09-07","V4","NDVI_mean",5,0.810884526083285,0.0186652749111443,0.814956076300278,0.791431971596016,0.830907704076576,0.03947573248056
1,"2024-09-07","V4","MSAVI_mean",5,0.622644558229834,0.0174357485089724,0.625706638626854,0.602106789539996,0.642763898899395,0.040657109359399
1,"2024-09-07","V4","WDRVI_mean",5,0.26315668814295,0.00638292459773386,0.26432941089838,0.256246509757586,0.269568975490437,0.013322465732851
2,"2024-09-14","R5","canopy_area_m2",5,1.54118890728751,0.511330233296215,1.53622605766967,0.94298891408538,2.30322003345405,1.36023111936867
2,"2024-09-14","R5","NDVI_mean",5,0.850612165034127,0.0026437196801301,0.851046773871937,0.846519555991384,0.853092128507169,0.00657257251578502
2,"2024-09-14","R5","MSAVI_mean",5,0.399343968127958,0.0266540717827962,0.402641731344684,0.358072532588906,0.422568673272505,0.064496140683599
2,"2024-09-14","R5","WDRVI_mean",5,0.376733768294584,0.00797333883300607,0.377933952606892,0.364475914568409,0.384210158007949,0.01973424343954
3,"2024-10-02","R6","canopy_area_m2",5,9.9277755343166,2.24232661787995,8.63417584852505,8.00989674786706,13.310398727247,5.30050197937994
3,"2024-10-02","R6","NDVI_mean",5,0.930512628775413,0.00129239292803953,0.930374471597133,0.928991166450537,0.932575053621648,0.00358388717111102
3,"2024-10-02","R6","MSAVI_mean",5,0.719588099707216,0.00782142379481845,0.720164812999337,0.711235813221876,0.728113926844704,0.016878113622828
3,"2024-10-02","R6","WDRVI_mean",5,0.678410474446404,0.00528404698572638,0.677338596683257,0.672909030465335,0.687011000980464,0.014101970515129
4,"2024-10-09","R7","canopy_area_m2",5,14.1606032708976,2.3174430512164,14.7653648766936,11.050488889241,16.8500157366801,5.7995268474391
4,"2024-10-09","R7","NDVI_mean",5,0.791099968761996,0.00529636080633728,0.79076270974494,0.784928500792767,0.796905858709583,0.011977357916816
4,"2024-10-09","R7","MSAVI_mean",5,0.665388162934841,0.0166563543357858,0.664717230800793,0.645989159735254,0.683363472604663,0.0373743128694091
4,"2024-10-09","R7","WDRVI_mean",5,0.208802480452498,0.013421912414787,0.207899905032194,0.193188258774676,0.223564300779262,0.030376042004586
5,"2024-10-16","R8","canopy_area_m2",5,16.211328682827,2.32395620242316,16.6921091594076,13.3757326664997,19.1052644323932,5.7295317658935
5,"2024-10-16","R8","NDVI_mean",5,0.871990758891708,0.0164923789409926,0.865643777047097,0.857532915245176,0.894688687465109,0.0371557722199329
5,"2024-10-16","R8","MSAVI_mean",5,0.720689244058775,0.0232049956601302,0.710518904821373,0.702707631518237,0.758269849454346,0.0555622179361089
5,"2024-10-16","R8","WDRVI_mean",5,0.232021132335456,0.00437451296607525,0.229877779653072,0.228349980982789,0.238465256734317,0.010115275751528
