"flight","date","growth_stage","subplot","N_rate_kg_ha","index","canopy_polygon_count","canopy_area_m2","n_pixels","n_duplicate_cells_removed","coverage_pct","mean","median","sd","p05","p25","p75","p95","p99","min","max","n_below_minus1","n_above_1","pct_outside_minus1_1"
1,"2024-09-07","V4","P1",0,"NDVI",39,1.24602086041099,12867,0,99.9000008697157,0.830907704076576,0.834817230701447,0.0672336428660986,0.713179224729538,0.789048999547958,0.876084446907043,0.936702644824982,0.975013310909271,0.535630226135254,0.999984681606293,0,0,0
1,"2024-09-07","V4","P1",0,"MSAVI",39,1.24602086041099,12879,0,100.038648421322,0.635044297317243,0.640038728713989,0.104151045580663,0.451745539903641,0.56784525513649,0.707609802484512,0.797810250520706,0.859552437067032,0.210342466831207,0.960677862167358,0,0,0
1,"2024-09-07","V4","P1",0,"WDRVI",39,1.24602086041099,12879,0,100.038648421322,0.269568975490437,0.271543353796005,0.0260529302129999,0.223042996227741,0.25373350083828,0.287340760231018,0.309221044182777,0.324862175583839,0.15349206328392,0.350117027759552,0,0,0
1,"2024-09-07","V4","P2",100,"NDVI",36,0.956102668503795,9853,0,99.6959363629279,0.814956076300278,0.819841206073761,0.070305536689887,0.691478514671326,0.770399630069733,0.863389492034912,0.924745607376099,0.960481178760529,0.551698863506317,0.995018422603607,0,0,0
1,"2024-09-07","V4","P2",100,"MSAVI",36,0.956102668503795,9828,0,99.4882067760946,0.625706638626854,0.631596595048904,0.110241919806597,0.433805719017982,0.554672405123711,0.701345518231392,0.797295615077019,0.855736712217331,0.190777137875557,1.05754780769348,0,5,0.0508750508750509
1,"2024-09-07","V4","P2",100,"WDRVI",36,0.956102668503795,9828,0,99.4882067760946,0.26432941089838,0.266608089208603,0.027654841875088,0.21538899987936,0.247261997312307,0.28350105881691,0.306372793018818,0.320194171369076,0.149101540446281,0.371201008558273,0,0,0
1,"2024-09-07","V4","P3",200,"NDVI",34,0.732697469706883,7508,0,99.1318192672392,0.791433231876325,0.795697063207626,0.0750037231779722,0.659189572930336,0.743218824267387,0.844669371843338,0.908918428421021,0.950979026556015,0.531330227851868,0.996524155139923,0,0,0
1,"2024-09-07","V4","P3",200,"MSAVI",34,0.732697469706883,7584,0,100.180828289721,0.607601166765681,0.613618791103363,0.117016945637213,0.401042133569717,0.534568578004837,0.688197389245033,0.790418890118599,0.86059253513813,0.217114359140396,0.97823029756546,0,0,0
1,"2024-09-07","V4","P3",200,"WDRVI",34,0.732697469706883,7584,0,100.180828289721,0.256798643838881,0.258517473936081,0.0292025859965066,0.204549916088581,0.23880398645997,0.2767553627491,0.301396831870079,0.319676593840122,0.155098259449005,0.353433459997177,0,0,0
1,"2024-09-07","V4","P4",300,"NDVI",36,0.943895080278593,9790,0,100.339624985778,0.791431971596016,0.791247069835663,0.0661163834143009,0.681743070483208,0.746515989303589,0.837061882019043,0.900199943780899,0.941874412894249,0.571999311447144,0.998185098171234,0,0,0
