"flight","date","growth_stage","subplot","N_rate_kg_ha","canopy_area_m2","canopy_polygon_count","NDVI_mean","NDVI_median","NDVI_sd","MSAVI_mean","MSAVI_median","MSAVI_sd","WDRVI_mean","WDRVI_median","WDRVI_sd"
1,"2024-09-07","V4","P1",0,1.24602086041099,39,0.830907704076576,0.834817230701447,0.0672336428660986,0.635044297317243,0.640038728713989,0.104151045580663,0.269568975490437,0.271543353796005,0.0260529302129999
1,"2024-09-07","V4","P2",100,0.956102668503795,36,0.814956076300278,0.819841206073761,0.070305536689887,0.625706638626854,0.631596595048904,0.110241919806597,0.26432941089838,0.266608089208603,0.027654841875088
1,"2024-09-07","V4","P3",200,0.732697469706883,34,0.791433231876325,0.795697063207626,0.0750037231779722,0.607601166765681,0.613618791103363,0.117016945637213,0.256798643838881,0.258517473936081,0.0292025859965066
1,"2024-09-07","V4","P4",300,0.943895080278593,36,0.791431971596016,0.791247069835663,0.0661163834143009,0.602106789539996,0.602024614810944,0.105357601041043,0.256246509757586,0.256789773702621,0.0257223287932988
1,"2024-09-07","V4","P5",400,1.26525494438559,35,0.825693646567229,0.828024327754974,0.0629163622503647,0.642763898899395,0.643052220344543,0.106777729841173,0.268839900729465,0.269901245832443,0.0253334759602918
2,"2024-09-14","R5","P1",0,1.24420527099943,39,0.846519555991384,0.849985122680664,0.0148557503927738,0.358072532588906,0.380661636590958,0.122510945563703,0.364475914568409,0.374041020870209,0.0439314515440269
2,"2024-09-14","R5","P2",100,0.94298891408538,36,0.849756438219891,0.85182711482048,0.0116359217840144,0.391236226565641,0.405916437506676,0.103244014491978,0.374035982867793,0.379767775535583,0.0352814841028739
2,"2024-09-14","R5","P3",200,1.53622605766967,36,0.851046773871937,0.853063642978668,0.010673750054764,0.402641731344684,0.417410254478455,0.0963304811513451,0.377933952606892,0.383632481098175,0.0325509008541893
2,"2024-09-14","R5","P4",300,1.679304260229,36,0.853092128507169,0.854510545730591,0.00958181248568112,0.422568673272505,0.431329667568207,0.0918025531315952,0.384210158007949,0.388175830245018,0.0295747084425891
2,"2024-09-14","R5","P5",400,2.30322003345405,36,0.852645928580255,0.854993253946304,0.0114345977044951,0.422200676868055,0.439431235194206,0.108347883066996,0.383012833421875,0.38969649374485,0.0349271175644363
3,"2024-10-02","R6","P1",0,8.55696573766727,41,0.930232293882048,0.932334333658218,0.0427299546241869,0.711235813221876,0.708872556686401,0.0655077222517214,0.677338596683257,0.67122358083725,0.1763210000763
3,"2024-10-02","R6","P2",100,8.00989674786706,41,0.928991166450537,0.931672334671021,0.0439717378215495,0.720164812999337,0.719492614269257,0.0679852785848039,0.672909030465335,0.668445348739624,0.18019470474509
3,"2024-10-02","R6","P3",200,8.63417584852505,43,0.930374471597133,0.933621823787689,0.0441729874506925,0.728113926844704,0.727484405040741,0.0690910387428863,0.678853918049456,0.676647901535034,0.181125190677221
3,"2024-10-02","R6","P4",300,13.310398727247,40,0.932575053621648,0.935350477695465,0.0423444908146843,0.72634158494537,0.724757552146912,0.0687402138152351,0.687011000980464,0.683975040912628,0.175463779093187
3,"2024-10-02","R6","P5",400,11.1274406102766,44,0.930390158325698,0.932542324066162,0.0396492154227568,0.712084360524794,0.709496080875397,0.0638951532493877,0.675939826053506,0.672097980976105,0.163710153316844
4,"2024-10-09","R7","P1",0,14.7653648766936,8,0.786976477081752,0.788893580436707,0.0118632543521619,0.652158578381301,0.658711373806,0.0346198866195942,0.198354752297343,0.202664092183113,0.0296447801775601
4,"2024-10-09","R7","P2",100,11.050488889241,30,0.784928500792767,0.785070270299911,0.0117235157595851,0.645989159735254,0.644291043281555,0.0341956862020219,0.193188258774676,0.193013265728951,0.0293484642547216
4,"2024-10-09","R7","P3",200,12.6205156370588,36,0.79076270974494,0.793387174606323,0.0109985771863521,0.664717230800793,0.675576001405716,0.032319877744985,0.207899905032194,0.214154496788979,0.0277941299531359
4,"2024-10-09","R7","P4",300,16.8500157366801,35,0.796905858709583,0.79852831363678,0.00860906792858922,0.683363472604663,0.690519750118256,0.0245529308020107,0.223564300779262,0.227500274777412,0.0221013404225562
4,"2024-10-09","R7","P5",400,15.5166312148143,34,0.795926297480938,0.797491610050201,0.00844775839607819,0.680712373152195,0.687386035919189,0.0237350977390965,0.221005185379016,0.22479173541069,0.0216028298289662
5,"2024-10-16","R8","P1",0,13.3757326664997,1,0.865643777047097,0.872054755687714,0.0603905890144274,0.702707631518237,0.71295228600502,0.107945406228671,0.229877779653072,0.231490798294544,0.0183471629702363
5,"2024-10-16","R8","P2",100,14.3907776582602,1,0.858361680986984,0.871210813522339,0.0739633572332877,0.710518904821373,0.728103220462799,0.128026060757066,0.228812432762359,0.232111886143684,0.0221158716951634
5,"2024-10-16","R8","P3",200,16.6921091594076,1,0.857532915245176,0.867999732494354,0.0688772871043233,0.704348192686125,0.718882262706757,0.119637977257389,0.228349980982789,0.231027469038963,0.0206404258129383
5,"2024-10-16","R8","P4",300,19.1052644323932,1,0.894688687465109,0.899222016334534,0.0494454427402993,0.758269849454346,0.764754891395569,0.0942407948448767,0.238465256734317,0.239387720823288,0.0157577656641566
5,"2024-10-16","R8","P5",400,17.4927594975741,1,0.883726733714174,0.891347765922546,0.0565318625848224,0.727601641813793,0.73848819732666,0.108972035873351,0.234600211544744,0.236324235796928,0.0179719164438448
